2018,Saturday,South Harrison Street,Motor Vehicle Crash - No Injury,14:15:39
2018,Sunday,Valley Road,Motor Vehicle Crash - No Injury,11:26:10
2018,Sunday,Nassau Street,Motor Vehicle Crash - No Injury,17:40:14
2018,Monday,Nassau Street,Motor Vehicle Crash - No Injury,08:25:38
2018,Monday,State Road,Motor Vehicle Crash - No Injury,13:23:55
2018,Monday,Mulberry Row,Motor Vehicle Crash - No Injury,17:39:05
2018,Tuesday,Governors Lane,Motor Vehicle Crash - Injury,08:08:17
2018,Tuesday,North Harrison Street,Motor Vehicle Crash - No Injury,15:35:50
2018,Tuesday,South Harrison Street,Motor Vehicle Crash - No Injury,15:41:29
2018,Wednesday,Stockton Street,Motor Vehicle Crash - No Injury,10:08:02
2018,Wednesday,Mercer Street,Motor Vehicle Crash - No Injury,14:10:03
2018,Wednesday,Cherry Valley Road,Motor Vehicle Crash - No Injury,17:52:35
2018,Wednesday,Mercer Street,Motor Vehicle Crash - No Injury,18:18:14
2018,Saturday,Princeton Kingston Road,Motor Vehicle Crash - Injury,12:14:38
2018,Saturday,Vandeventer Avenue,Motor Vehicle Crash - No Injury,12:25:49
2018,Saturday,Alexander Street,Motor Vehicle Crash - No Injury,12:58:42
2018,Sunday,Stockton Street,Motor Vehicle Crash - No Injury,11:13:05
2018,Sunday,Valley Road,Motor Vehicle Crash - No Injury,18:19:03
2018,Sunday,North Harrison Street,Motor Vehicle Crash - No Injury,19:44:52
2018,Sunday,Library Place,Motor Vehicle Crash - No Injury,22:49:00
2018,Monday,Olden Street,Motor Vehicle Crash - No Injury,12:22:33
2018,Monday,Nassau Street,Motor Vehicle Crash - No Injury,17:44:04
2018,Tuesday,North Harrison Street,Motor Vehicle Crash - No Injury,13:02:48
2018,Wednesday,Washington Road,Motor Vehicle Crash - No Injury,06:11:31
2018,Wednesday,State Road,Motor Vehicle Crash - No Injury,07:30:03
2018,Thursday,North Harrison Street,Motor Vehicle Crash - No Injury,09:22:27
2018,Thursday,State Road,Motor Vehicle Crash - No Injury,12:18:59
2018,Thursday,State Road,Motor Vehicle Crash - No Injury,12:56:13
2018,Thursday,North Harrison Street,Motor Vehicle Crash - No Injury,14:17:33
2018,Thursday,North Harrison Street,Motor Vehicle Crash - No Injury,15:54:53
2018,Thursday,Monument Drive,Motor Vehicle Crash - No Injury,17:01:58
2018,Friday,Lovers Lane,Motor Vehicle Crash - No Injury,09:16:54
2018,Friday,State Road,Motor Vehicle Crash - No Injury,17:09:39
2018,Friday,Alexander Street,Motor Vehicle Crash - No Injury,18:29:07
2018,Saturday,State Road,Motor Vehicle Crash - Injury,10:33:20
2018,Sunday,Stockton Street,Motor Vehicle Crash - No Injury,08:48:11
2018,Monday,State Road,Motor Vehicle Crash - Injury,11:31:11
